"title","image","price","description"
"Pokemon - Scarlet & Violet - SV4.5 - Paldean Fates - Mew ex - 232/91","//totalcards.net/cdn/shop/files/pkm-sv4.5-232.jpg?v=1711634963&width=535","74.95","Mew ex is a Special Illustration Rare - (Basic) Psychic type Pokemon card from SV4.5 - Paldean Fates. (232/91)"
"Pokemon - Sword & Shield - Crown Zenith - Mewtwo VSTAR - GG44/GG70","//totalcards.net/cdn/shop/files/pkm-crz-gg44.jpg?v=1711537074&width=535","49.95","Mewtwo VSTAR is a Galarian Gallery VSTAR Psychic Pokemon card from Crown Zenith. (GG44/GG70)"
"Pokemon - Sword & Shield - Astral Radiance - Origin Forme Palkia V - 167/189","//totalcards.net/cdn/shop/files/pkm-asr167.jpg?v=1711471784&width=535","44.95","Origin Forme Palkia V is a V, Full Art, Alternate Art - (Basic) Water type Pokemon card from SWSH10 Astral Radiance. (167/189)"
"Pokemon - Sword & Shield - Silver Tempest - Unown V - 177/195","//totalcards.net/cdn/shop/files/pkm-sit-177.jpg?v=1711535262&width=535","30.95","Unown V is a Rare Ultra - (Basic|V) Psychic type Pokemon card from Silver Tempest. (177/195)"
"Pokemon - Scarlet & Violet - SV4.5 - Paldean Fates - Mew ex - 216/91","//totalcards.net/cdn/shop/files/pkm-sv4.5-216.jpg?v=1711634955&width=535","34.95","Mew ex is a Shiny Ultra Rare - (Basic) Psychic type Pokemon card from SV4.5 - Paldean Fates. (216/91)"
"Pokemon - Sword & Shield - Pokemon Go - Mewtwo V - 072/78","//totalcards.net/cdn/shop/files/pkm-go-072.jpg?v=1711475299&width=535","27.95","Mewtwo V is a V|Full Art - (Basic) Psychic type Pokemon card from SWSH10.5 Pokemon Go. (072/78)"
"Pokemon - Sword & Shield - Chilling Reign - Tornadus V - 185/198","//totalcards.net/cdn/shop/files/pkm-cre-185.jpg?v=1711364549&width=535","25.45","Tornadus V is a V, Full Art - (Basic) Colorless type Pokemon card from SWSH6 Chilling Reign. (185/198)"
"Pokemon - Scarlet & Violet - SV4.5 - Paldean Fates - Alakazam ex - 215/91","//totalcards.net/cdn/shop/files/pkm-sv4.5-215.jpg?v=1711634954&width=535","26.95","Alakazam ex is a Shiny Ultra Rare - (Stage 2) Psychic type Pokemon card from SV4.5 - Paldean Fates. (215/91)"
"Pokemon - Sword & Shield - Lost Origin - Giratina VSTAR - 201/196","//totalcards.net/cdn/shop/files/pkm-lord-201.jpg?v=1711534680&width=535","22.45","Giratina VSTAR is a Rare Rainbow - (VSTAR) Dragon type Pokemon card from Lost Origin. (201/196)"
"Pokemon - Sword & Shield - SWSH Black Star Promos - Jolteon V - SWSH183","//totalcards.net/cdn/shop/files/jolteon-v-183.jpg?v=1711462757&width=535","22.95","Jolteon V is a card from SWSH Black Star Promos. (SWSH183)"
